,url,output,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,pc1,pc2
0,<elgoog>,<elgoog>cslaoeasellatsni>t62ra9,3.5265472,5.012205,2.0260181,1.6699502,3.4048233,3.5586329,0.23113199,4.3131285,1.2949525,-0.06189495
1,<koobecaf>,<tootsee>>i>>>>>>>erf>ni>t1y499,0.9160422,0.96160436,0.9801862,0.93603015,0.459981,0.79698706,2.082332,0.55386585,-0.22535673,0.07130441
2,<ebutuoy>,<toot>ol>>ih>>i>>eerf>ni>t1y499,1.2967523,0.7665231,1.2911037,1.037435,0.0,1.0288641,2.9612389,0.14378048,-0.2893961,0.25083554
3,<oohay>,<oo>ec>a>>l>>>>mel>>>sni>t1rq9,0.6664213,1.9179251,0.18674006,0.0,0.22959702,1.5979102,0.870739,0.73832315,-0.0946659,-0.31292653
4,<udiab>,<oo>ec>a>>l>>>>m>l>>>sni>t1rk9,0.7610107,1.7265514,0.15843129,0.0,0.1863463,1.599007,0.9776365,0.6982299,-0.11913001,-0.28426838
5,<aidepikiw>,<seeteeei>>>>>>>>>eatsni>t1ra9g,1.7209885,1.6205384,1.6154535,1.3836453,0.80892825,1.5787977,2.3100152,1.1276253,0.068893775,0.2023012
6,<qq>,<oo>>>>a>>i>>>>m>l>>fsni>t7yk9,0.030306919,1.2431722,0.0,0.0,0.0,0.6813867,0.2596492,0.46526,-0.31173545,-0.41095906
7,<oaboat>,<elgoog>cila>e>mel>atsni>tm2ra9,1.8771461,3.3308597,0.78339934,0.74156505,1.3193847,2.4952013,0.4764601,1.997158,0.4656786,-0.2494533
8,<rettiwt>,<seeteee>>>>>>>>>>>atsni>t1ra9g,2.3740041,1.7206506,1.1489053,0.6223103,0.91420263,1.6700681,2.514098,1.4989552,0.13427833,0.18970384
9,<nozama>,<eonoap>cila>b>mel>atsni>tm2ra9,1.4010131,2.6043513,0.3521464,0.47788143,1.0757859,2.0708773,0.58773434,1.5710939,0.23852566,-0.28182513
10,<nideknil>,<seiteee>>>>>>>>>>>atsni>t1ra9g,1.5234066,1.7494144,1.1135557,0.9549992,0.6433274,1.6788582,1.9981909,0.97231466,0.030390361,0.06199942
11,<evil>,<tois>ol>>ih>>i>>eerf>ni>z1yi99,0.22534537,0.09153744,0.84608245,0.4932402,0.0,0.1356524,2.152907,0.0,-0.5247261,0.040028516
12,<elgoog>,<elgoog>cslaoeasellatsni>t62ra9,3.5265472,5.012205,2.0260181,1.6699502,3.4048233,3.5586329,0.23113199,4.3131285,1.2949531,-0.061896577
13,<anis>,<tois>ol>>ih>>i>>eerf>ni>z1yi99,0.25788248,0.15079366,0.88028115,0.44872698,0.0,0.15075612,2.18417,0.0,-0.5162111,0.04355087
14,<321oah>,<elgoag>cilc>b>mel>atsni>tm2ra9,1.0525573,3.1839824,0.7623464,0.8414612,0.98295057,2.446386,0.0,1.6581903,0.34605175,-0.37225804
15,<topsgolb>,<toos>olb>ih>>h>>eerf>ni>t1y499,1.3543432,0.040164,1.6680382,1.1477053,0.0,0.30240577,3.7077503,0.0,-0.43989623,0.4519502
16,<obiew>,<oo>>c>a>>i>>>>m>l>a>sni>t1rk9,0.6603341,1.8152969,0.14415577,0.0,0.0,1.5532445,1.193174,0.5514122,-0.1559748,-0.27015188
17,<llamt>,<oonea>>>>l>>>>mel>>>sni>t1rq9,0.91616344,1.8447276,0.19093435,0.0,0.46257076,1.6269205,0.9888484,0.95530856,-0.047355574,-0.26928133
18,<kv>,<oo>>>>a>>il>>>m>l>rf>ni>z7yk9,0.0,1.0377749,0.0,0.0,0.0,0.49662507,0.23704486,0.27482024,-0.36706468,-0.40275675
