,url,output,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,pc1,pc2
0,<elgoog>,<elgoog>nvgale>u>>>b>>ni>cmy0tm1,3.9342406,0.3644331,-6.0293036,3.2614052,-4.5718064,-7.9891634,6.0036416,5.9970484,-0.32190222,0.30816773
1,<koobecaf>,utsalneit>>>>>e>>a>rf>ni>9ty4<j,-1.4351758,3.8000824,-5.406663,-0.6417878,0.64568406,-5.1523533,2.1674886,1.6285014,-0.049691945,-0.094293155
2,<ebutuoy>,utwesgol>>mnsnece>n>tsni>9tg4<j,-3.4802465,5.924913,-6.750578,-2.021376,2.442649,-5.762891,1.6013272,0.7285924,0.121154726,-0.14992727
3,<oohay>,pnozam>>qjz9jx9n9k9v6zg6kymyt41,-2.93681,7.3269258,-10.236403,-1.3843279,1.4993154,-9.691397,3.918703,2.8180656,0.23819377,0.10166801
4,<udiab>,pnozam>5qjz9y969k986z96ytyh41,-2.9189584,7.0681014,-9.7550745,-1.4053944,1.540668,-9.186131,3.6586244,2.5996823,0.21685624,0.07320591
5,<aidepikiw>,<traleeiin>>>>o>>a>rf>ni>9ty4<j,-0.65113854,2.9977887,-4.915423,-0.11122656,-0.04598227,-4.943799,2.3978846,1.9849737,-0.11417303,-0.071494155
6,<qq>,fub>>y>5x649356zk9q6z9lkym02r1,-4.5959616,8.869008,-10.9712925,-2.528746,3.000457,-9.808241,3.2583907,1.916546,0.36178407,0.03460771
7,<oaboat>,<321zap>kiadbowwmiy46zg68cmyqtm1,0.7683661,3.2687733,-7.3942823,1.0868453,-1.7076662,-8.152107,4.7161584,4.2532125,-0.08856865,0.17742674
8,<rettiwt>,utsatneit>>h>>ecea>>f>ni>9ty4<j,-2.110436,4.630917,-6.102949,-1.0795245,1.2082968,-5.6228495,2.1230628,1.4530729,0.01739306,-0.097093344
9,<nozama>,mi2zaap>kibd1ywn9k9v6zg6ncmyyt41,-0.59819424,4.902103,-8.709432,0.1942026,-0.5572214,-9.00396,4.5725484,3.852429,0.043230858,0.1659334
10,<nideknil>,utsatneit>>>>>e>la>rf>ni>9ty4<j,-1.7348641,4.2173696,-5.8105125,-0.82941604,0.88396287,-5.462114,2.2011638,1.5962718,-0.015908146,-0.08969569
11,<evil>,uwwuy>6yxxycptiebn>tsni>lt02<j,-4.951072,8.56154,-9.882832,-2.8613386,3.4725971,-8.50732,2.4148853,1.1239529,0.33557796,-0.05649786
12,<elgoog>,<elgoog>nvgale>u>>>b>>ni>cmy0tm1,3.9342406,0.3644331,-6.0293036,3.2614052,-4.5718064,-7.9891634,6.0036416,5.9970484,-0.3219022,0.30816802
13,<anis>,fwpuy>3yx5-cnptiebn>tsni>lt02rj,-5.5899873,9.339243,-10.525195,-3.2767236,4.0070524,-8.934932,2.363436,0.94991297,0.39835966,-0.06016906
14,<321oah>,<321zap>kiadbow>miyb6zg68cmyqtm1,1.0224404,2.998811,-7.215641,1.2574654,-1.9296211,-8.063906,4.78011,4.359533,-0.1102898,0.18362892
15,<topsgolb>,utwesgol>>mne>ec>>>>tsni>9tg4<j,-3.2798975,5.372152,-5.945645,-1.9335041,2.3479543,-4.986451,1.2774462,0.49277884,0.075952254,-0.18595092
16,<obiew>,pnozam>5qjzpy569k9f6phuytyhc1,-2.9494154,6.9321,-9.44755,-1.4489534,1.6070894,-8.846564,3.4656115,2.4286227,0.20555381,0.052197408
17,<llamt>,pnozam>5qjzpy569k986yhuytyh41,-2.9076385,6.929315,-9.499456,-1.4151701,1.5606631,-8.918642,3.5220273,2.4853227,0.2054173,0.058231127
18,<kv>,fub>my>5x649356zk9q66hlkyt02r1,-4.404653,8.527321,-10.566369,-2.419292,2.866141,-9.4539385,3.154069,1.8663737,0.3339979,0.022612596
19,<sserpdrow>,<tnalreren>>>>>>>a>b>>ni>9tgy4<j,0.012122422,2.1250203,-4.120673,0.31097156,-0.58528054,-4.3636913,2.379081,2.1040192,-0.18475297,-0.07556886
20,<oohay>,pnozam>>qjz9jx9n9k9v6zg6kymyt41,-2.93681,7.3269258,-10.236403,-1.3843279,1.4993154,-9.691397,3.918703,2.8180656,0.23819377,0.10166801
21,<uhos>,fwpuy>3yx54cptiebn>tsni>lt02rj,-5.786388,9.639202,-10.841612,-3.3960664,4.156944,-9.1930065,2.4146543,0.9536692,0.422688,-0.053968843
22,<xednay>,<7utrap>kib>>awvliy86vg696qylm1,-0.20581928,4.03386,-7.551646,0.39562407,-0.7930011,-7.9288845,4.173916,3.5918822,-0.027590785,0.1211591
23,<yabe>,fwp>y>3yx54cptiebn>tsni>lt02rj,-5.6300325,9.505348,-10.794786,-3.2866285,4.012777,-9.20583,2.4894881,1.0493908,0.41198862,-0.04626942
24,<elgoog>,<elgoog>nvgale>u>>>b>>ni>cmy0tm1,3.9342406,0.3644331,-6.0293036,3.2614052,-4.5718064,-7.9891634,6.0036416,5.9970484,-0.3219022,0.30816802
25,<gnib>,uwwuc>6yx5ycnptiebn>tsni>lt02<j,-5.2878346,8.8607235,-10.005094,-3.0954812,3.7805426,-8.502382,2.2658052,0.9280283,0.35952434,-0.071764685
26,<tseretnip>,<tnalreran>>>>>>>a>b>>ni>9tgy4<j,-0.1651012,2.314266,-4.2471137,0.19211523,-0.43088865,-4.4273195,2.3357425,2.0309308,-0.16952658,-0.07976788
27,<elgoog>,<elgoog>nvgale>u>>>b>>ni>cmy0tm1,3.9342406,0.3644331,-6.0293036,3.2614052,-4.5718064,-7.9891634,6.0036416,5.9970484,-0.3219022,0.30816802
28,<361>,fx6>>y>5q649j356zk9q6zp6kymy02r1,-4.8138213,9.618868,-12.137383,-2.6037652,3.0678422,-10.962242,3.7748775,2.3132327,0.42322358,0.09171865
29,<063>,fx5>>y>5q649j356zk9q6z9lkymy02r1,-5.0740657,9.7547245,-12.045461,-2.7978704,3.3284347,-10.760033,3.5544584,2.072057,0.43385217,0.06843177
30,<elgoog>,<elgoog>nvgale>u>>>b>>ni>cmy0tm1,3.9342403,0.3644329,-6.0293036,3.261405,-4.571806,-7.9891624,6.0036407,5.9970474,-0.3219022,0.308168
31,<ksa>,fub>>z>5x649356zk9q6z9lkym02r1,-4.8988285,9.256029,-11.311721,-2.7231195,3.2493913,-10.049215,3.2543256,1.8513707,0.39306208,0.035084542
32,<margatsni>,utsalseitn>>>sw>la>>f>ni>9ty4<j,-0.14918032,2.7060993,-5.0345488,0.25892216,-0.5414628,-5.271959,2.789942,2.4220629,-0.13712507,-0.030171173
33,<elgoog>,<elgoog-nvgulerut>eb>>ni>ymy0tm1,3.9342406,0.3644331,-6.0293036,3.2614052,-4.5718064,-7.9891634,6.0036416,5.9970484,-0.3219022,0.30816802
34,<rlbmut>,<3ucrac>kibdbawvlkzfvd296cylmn,0.54241633,3.234926,-7.017885,0.8974633,-1.445478,-7.660819,4.357555,3.9010217,-0.0918783,0.13893244
35,<nsm>,fub>>m>5x649356zk9q6z9lkym02r1,-5.051957,9.682474,-11.934682,-2.789707,3.3206627,-10.650959,3.506349,2.0354488,0.42793554,0.06310292
36,<elgoog>,<elgoog-nvgulerut>eb>>ni>ymy0tm1,3.9342406,0.3644331,-6.0293036,3.2614052,-4.5718064,-7.9891634,6.0036416,5.9970484,-0.3219022,0.30816802
37,<liam>,fwwuy>6y>xyqptiebn>tsni>lt02<j,-5.7025867,9.562237,-10.806349,-3.3381069,4.0808516,-9.189081,2.4490976,1.0001239,0.4165223,-0.05046514
38,<tfosorcim>,utsalgeitn>>>>o>>a>>f>ni>9tg4<j,0.11008087,2.0547922,-4.1179037,0.38138694,-0.67888725,-4.400053,2.4409595,2.1768334,-0.19033273,-0.069105014
39,<soedivx>,utweitlp>>fpsntcebn>tsni>9tg4<j,-2.5920901,5.2501593,-6.6516466,-1.3881085,1.6033978,-6.0137844,2.1206527,1.3529046,0.06744486,-0.095889345
40,<lapyap>,4iutaap>pwb>>ywblkzfph296y6bn,-0.4146563,4.3134303,-7.8111963,0.26333845,-0.6243584,-8.121443,4.1850553,3.558876,-0.004974526,0.1230154
41,<elgoog>,<elgoog-nvgulerut>eb>>ni>ymy0tm1,3.9342406,0.3644331,-6.0293036,3.2614052,-4.5718064,-7.9891634,6.0036416,5.9970484,-0.3219022,0.30816802
42,<osos>,uwwus>6y>xycptiebn>tsni>lt02<j,-5.603146,9.290434,-10.411779,-3.2941854,4.0334096,-8.808919,2.2910008,0.88534755,0.3942989,-0.06804835
43,<hsacda>,unetbadupw>>>ywblpsfph29ty4bn,-0.9963223,4.5484567,-7.471703,-0.17993566,-0.025522605,-7.5266604,3.6166127,2.955142,0.013115739,0.062696025
44,<elgoog>,<elgoog-nvgulerut>eb>>ni>ymy0tm1,3.9342406,0.3644331,-6.0293036,3.2614052,-4.5718064,-7.9891634,6.0036416,5.9970484,-0.3219022,0.30816802
45,<elgoog>,<elgoog-nvgulerut>eb>>ni>ymy0tm1,3.9342406,0.3644331,-6.0293036,3.2614052,-4.5718064,-7.9891634,6.0036416,5.9970484,-0.3219022,0.30816802
46,<bdmi>,fwbuy>6y>xyqptsebn>tsni>lt02<j,-5.325905,9.18432,-10.585148,-3.0821102,3.7467253,-9.1045475,2.568167,1.1784786,0.3861657,-0.038600463
47,<elppa>,4nozaaa>pwzpy969k9fphuhty6t1,-1.726334,5.8689713,-9.049597,-0.5951527,0.48274857,-8.913673,4.0337667,3.1627162,0.12052175,0.11051257
48,<rugmi>,4nozaaa>pwzpyub9k9fphuhty6tn,-1.6896476,5.747762,-8.863111,-0.58189166,0.4705004,-8.729642,3.9519198,3.1003594,0.11059714,0.101480894
49,<xuboen>,<32cpap>kypdbawvliyv6vg696pylm1,0.85767615,2.9922497,-6.976536,1.1218334,-1.7426033,-7.7432127,4.538375,4.119619,-0.11120641,0.15772872
50,<tsilsgiarc>,<tnilgolanee>>>>>>>b>>ni>9tg4<j,0.713372,1.067416,-3.01691,0.7388188,-1.1235676,-3.4699504,2.2106884,2.103064,-0.27051306,-0.0961096
51,<nozama>,4iuzaap>pjz>6y9n9k986zg6c6yyt41,-0.59819424,4.902103,-8.709432,0.1942026,-0.5572214,-9.00396,4.5725484,3.852429,0.043230858,0.1659334
52,<t>,fub>mm>zxx4qk5qzk9fc-hlqlt02r8,-4.3863773,8.494322,-10.526897,-2.4089437,2.853429,-9.419276,3.143549,1.8611662,0.3313127,0.021415252
53,<retsmahx>,utsattei>>>>>nwclbn>tsni>9ty4<j,-1.6431488,4.104952,-5.71673,-0.76990616,0.8073715,-5.3991,2.2076766,1.6205473,-0.024986697,-0.08926272
54,<wolfrevokcats>,<tnilgotaeeee>>>>>>b>>ni>9tgv4<j,1.2472552,0.36518618,-2.3778257,1.0787156,-1.5575178,-3.003551,2.195803,2.1990342,-0.327297,-0.099360965
55,<tidder>,urutracspl>>>awvlpsfph296y4bn,-0.23160401,3.7087138,-6.880911,0.3298386,-0.68698275,-7.204548,3.7789805,3.24942,-0.054504804,0.07808023
56,<elgoog>,<elgoog-nvgulerut>eb>>ni>ymy0tm1,3.9342406,0.3644331,-6.0293036,3.2614052,-4.5718064,-7.9891634,6.0036416,5.9970484,-0.3219022,0.30816802
57,<elgoog>,<elgoog-nvgulerut>eb>>ni>ymy0tm1,3.9342406,0.3644331,-6.0293036,3.2614052,-4.5718064,-7.9891634,6.0036416,5.9970484,-0.3219022,0.30816802
58,<nnc>,fxb>>m>5q649356zk9q6z9lkym02r1,-4.726182,9.475168,-11.9769535,-2.5518577,3.0032768,-10.826605,3.7411983,2.3023064,0.411554,0.08776741
59,<elgoog>,<elgoog-nvgulerut>eb>>ni>ymy0tm1,3.9342406,0.3644331,-6.0293036,3.2614052,-4.5718064,-7.9891634,6.0036416,5.9970484,-0.3219022,0.30816802
60,<2cf>,fub>>m>5x649356zk9q6z9lkyt02r1,-4.6557145,9.235012,-11.604386,-2.527294,2.9809306,-10.458248,3.576664,2.1761951,0.39187732,0.069576696
61,<og>,fub>mm>5xx49356zk9q6-hlqyt02r1,-4.3304477,8.600294,-10.810796,-2.348631,2.7654123,-9.743892,3.339854,2.0401726,0.34019324,0.042696312
62,<gnefi>,unozam>kpwzpyubjk9fph2hty4cn,-2.2993183,6.2024903,-8.914529,-1.0177855,1.0485594,-8.539897,3.5861056,2.6638756,0.14676878,0.063371375
63,<cbb>,fub>>z>5x649356zk9q6z9lkym02r1,-5.340601,10.149824,-12.451587,-2.9613814,3.5345917,-11.08545,3.6109855,2.065998,0.4658796,0.07541626
64,<ebuv>,fwb>m>35x6493ygz<latsni>ym02r1,-5.408868,9.275299,-10.648991,-3.1374214,3.8184748,-9.139299,2.5505128,1.1465214,0.39349112,-0.04027915
65,<elpoep>,<e21oop>kvgkohrwmieb>>g6kymy0tm1,1.571262,2.3397486,-6.681402,1.6155787,-2.3910794,-7.7154036,4.834522,4.517707,-0.16348068,0.18788047
66,<reggolb>,uridtmdup>>>>awvlgsfph29ty4bj,-1.3458437,4.0437818,-6.005534,-0.53516567,0.48733032,-5.8257394,2.5632453,1.9846356,-0.029362846,-0.051329207
67,<sserpxeila>,<tralneitn>>>oo>>a>rf>ni>9ty4<j,-0.2857906,2.3021672,-4.057838,0.09184396,-0.29234034,-4.1774406,2.1509902,1.8485312,-0.17079973,-0.09959845
68,<ikinssalkondo>,<snilrereei>>>>>>a>b>>ni>97gv4<j,0.56806743,1.3377753,-3.3457422,0.65719956,-1.024039,-3.7616665,2.3019838,2.1513617,-0.24850953,-0.08568957
69,<sserpdrow>,<srarreiin>>>oo>>a>b>>ni>96gy4<j,0.012122422,2.1250203,-4.120673,0.31097156,-0.58528054,-4.3636913,2.379081,2.1040192,-0.18475297,-0.07556886
70,<ababila>,ukiuitub>>ypnutsebn>tsni>9tg4<j,-2.9800599,5.6515546,-6.90329,-1.6500677,1.9447308,-6.126076,2.0113738,1.1805639,0.099716365,-0.10664889
71,<wmg>,fx6>>m>56649j3znzk946zp6kymy02r1,-4.560079,9.317573,-11.897072,-2.4377353,2.853785,-10.80817,3.803702,2.389503,0.39891502,0.09409017
72,<eboda>,pnozam>5qjz9j39nzk9v6zg6kymyyt41,-2.4429018,6.3495913,-9.004817,-1.1149348,1.1752028,-8.578473,3.5441282,2.5987668,0.15859215,0.059217487
73,<tsopnotgniffuh>,<tnilgotaeeee>>>>>>b>>ni>97gv4<j,1.0149665,0.27883017,-1.8902285,0.8770451,-1.2760193,-2.391406,1.7707099,1.7886648,-0.33495978,-0.14512266
74,<elgoog>,<elgoog>nvgulerutseb>>ni>ymy0tr1,3.9342406,0.3644331,-6.0293036,3.2614052,-4.5718064,-7.9891634,6.0036416,5.9970484,-0.3219022,0.30816802
75,<tenauhnix>,<sraretiol>>>ow>la>rf>ni>9ty4<j,-0.36165795,2.670249,-4.672804,0.08035478,-0.2940724,-4.801662,2.448486,2.0871873,-0.14057042,-0.06684431
76,<tnetnocresuelgoog>,<tnilgotaeeee>>>>>>b>>ni>97gv4<j,1.2128142,-0.019172734,-1.5604808,0.9906599,-1.4138792,-2.1327496,1.7146345,1.7850121,-0.3592946,-0.15185288
77,<ukuoy>,pn6zam>>qjz9j39nzk946zg6kymy0tr1,-2.7878044,6.9785485,-9.760169,-1.3104693,1.4143568,-9.244175,3.7464793,2.701415,0.20975776,0.08240236
78,<yddadog>,ukwustlp>>ypnntiebn>tsni>9tg4<j,-2.9205422,5.436067,-6.5639153,-1.6310333,1.9288623,-5.7886515,1.8585024,1.0621692,0.08205259,-0.12353457
79,<buhnrop>,utwestop>>ypcntiebn>tsni>9tg4<j,-2.9182992,5.194048,-6.094021,-1.6624925,1.983685,-5.28929,1.5948901,0.8375465,0.062065776,-0.15234365
80,<dhiamaka>,ukidtkdul>>>>awvlgsfph29ty4<j,-1.4355812,4.029443,-5.854126,-0.6106783,0.5919997,-5.6285458,2.4193282,1.8435816,-0.030749034,-0.06675424
81,<yabetaripeht>,<tnilreren>>>>>>>a>b>>ni>97gv4<j,0.45483515,1.3508809,-3.2158833,0.56647515,-0.8999414,-3.578114,2.155596,2.0033212,-0.24768676,-0.10134805
82,<ssakcik>,ukwuitlp>>ypnntiebn>tsni>9tg4<j,-2.8253624,5.3242497,-6.4760437,-1.5686595,1.8483555,-5.7332773,1.8704611,1.0917944,0.07303331,-0.12251032
83,<elgoog>,<elgoog>nvgulerutseb>>ni>ymy0tr1,3.9342406,0.3644331,-6.0293036,3.2614052,-4.5718064,-7.9891634,6.0036416,5.9970484,-0.3219022,0.30816802
84,<nozama>,vx2zaap>3jzk129n<k946zg6kymy0t41,-0.59819424,4.902103,-8.709432,0.1942026,-0.5572214,-9.00396,4.5725484,3.852429,0.043230858,0.1659334
85,<nomklc>,vi2zaap>3jzk129n<k946zg6kcmyyt41,-0.4417738,4.2997756,-7.7472453,0.23925325,-0.59049547,-8.042446,4.1313014,3.5074828,-0.0061630392,0.11723157
86,<yabe>,fwb>m>35x6493ypz<latsni>ym02r1,-5.6300325,9.505348,-10.794786,-3.2866285,4.012777,-9.20583,2.4894881,1.0493908,0.41198862,-0.04626942
87,<yapila>,mi21aap>kjzk129n<k9v6zg6kcmyyt41,-0.43458048,4.1497893,-7.464086,0.22457227,-0.5631744,-7.7439346,3.976453,3.3766766,-0.018536152,0.100276664
88,<elgoog>,<elgoog>nvgulerutseb>>ni>ymy0tr1,3.9342406,0.3644331,-6.0293036,3.2614052,-4.5718064,-7.9891634,6.0036416,5.9970484,-0.3219022,0.30816802
89,<npse>,fcb>>>35x649j35jz<926z9lkymy02r1,-5.5489016,9.59502,-11.081455,-3.2079504,3.9002268,-9.5435295,2.703726,1.2488315,0.41958022,-0.023108488
90,<noitomyliad>,<sroretsol>>>oo>>a>b>>ni>96gy4<j,0.12387279,2.1302152,-4.284205,0.40298426,-0.71221465,-4.5827045,2.5436513,2.2673364,-0.18406951,-0.057922594
91,<tuoba>,pnozam>5qjz9jx9n9k9v6zg6kymyyt41,-2.2205129,5.957764,-8.544541,-0.987021,1.0179632,-8.177598,3.4284515,2.545277,0.12673587,0.045902543
92,<pb>,fxb>>y>5q649j35jzk9q6zo6kymy02r1,-4.702066,8.977871,-11.038349,-2.6004908,3.0939655,-9.837116,3.2276185,1.8686347,0.37053427,0.031561572
93,<topsgolb>,utwesgol>>ypsntiebn>tsni>9tg4<j,-3.2798975,5.372152,-5.945645,-1.9335041,2.3479543,-4.9864516,1.2774462,0.49277884,0.07595226,-0.1859509
94,<xilften>,ukwustip>>ypnntiebn>tsni>9tg4<j,-2.9571826,5.461736,-6.563768,-1.6574714,1.9639549,-5.7738256,1.8347119,1.0343843,0.084089436,-0.12602298
95,<oemiv>,pnozam>>qjz9j39nzk9v6zg6kymy0t41,-2.4179263,6.4033847,-9.144259,-1.0871065,1.1343899,-8.73686,3.6388752,2.6847548,0.16309273,0.069497846
96,<liamyliad>,utrateeitn>>>aw>la>rf>h29ty4<j,-0.7973553,3.1335433,-4.9799337,-0.21207637,0.086257845,-4.9538574,2.3396518,1.9054688,-0.103293784,-0.077414565
97,<ebutder>,ukieitab>>ypzntbebn>tsni>9tg4<j,-2.4355931,4.9631085,-6.305667,-1.2996082,1.4953535,-5.70821,2.0268917,1.3046975,0.044092063,-0.10661497
98,<netukar>,ukidkmab>>ypuubebn>tsni>9tg4<j,-2.3504183,5.0319567,-6.557074,-1.2205802,1.3832849,-6.010023,2.2237062,1.4901621,0.049972072,-0.085358396
99,<tiudnoc>,utwusgol>>ypsntiebn>tsni>9tg4<j,-3.4817388,5.8310356,-6.5651026,-2.035483,2.466535,-5.564864,1.495836,0.63820446,0.113397084,-0.16145515
100,<yabe>,fwb>m>35x6493ypz<latsni>ym02r1,-5.630033,9.505349,-10.794787,-3.2866285,4.012777,-9.205831,2.4894881,1.0493908,0.41198865,-0.04626939
101,<xxnx>,fwb>m>>5x6493ygz<latsni>ym02r1,-5.4614234,9.39402,-10.808784,-3.1640985,3.8494756,-9.288335,2.6065295,1.1836773,0.40317732,-0.033992045
102,<anihc>,pnozam>5qjz9j35nzk9v6zg6kym02r1,-2.8277752,6.7860136,-9.329086,-1.369613,1.5048567,-8.7692795,3.4775636,2.4636354,0.19376391,0.053134184
103,<tserofemeht>,<snrlrereeee>>>>>>>b>>ni>97gv4<j,0.6931807,1.2854431,-3.415139,0.75223416,-1.1524562,-3.88581,2.4220924,2.2795315,-0.2525514,-0.072937995
104,<semitaidni>,<traleeiin>>>>o>>a>rf>ni>9ty4<j,-0.39923468,2.5329397,-4.3530054,0.030821327,-0.21935055,-4.44614,2.2439473,1.9048028,-0.15199617,-0.089092
105,<lou>,fx5>>q>56649j35jz<946zb6kymy02r1,-5.48723,10.329491,-12.601308,-3.0565715,3.6569793,-11.186077,3.600475,2.0271838,0.48038608,0.07471645
